Orden;Sitios;codigo;Fecha;Año;Campaña;Tem_agua;Tem_aire;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
14;Perú Puente;SI023; 29/10/2019;2019;primavera;21.4;2.4;7.57;Ausencia;Ausencia;Presencia;Ausencia;296000;261000;23900;12.6;3.28;0.11;0.29;43;24;22;60;<0.006;<0.002;<0.5;<10;32;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;30/10/2019;2019;primavera;20.8;8.1;7.64;Ausencia;Ausencia;Ausencia;Ausencia;6400;3500;700;5.7;0.47;0.32;0.32;33;8;53;77;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;30/10/2019;2019;primavera;20.1;8;7.31;Ausencia;Ausencia;Ausencia;Ausencia;12000;9200;2100;7.6;0.3;0.27;0.5;29;8;52;49;<0.006;<0.002;<0.5;<10;44;Extremadamente deteriorada
17;Costa y Melo;VL031;30/10/2019;2019;primavera;20.5;7.4;7.74;Ausencia;Ausencia;Ausencia;Ausencia;81000;39000;12200;5.5;0.14;0.42;1.18;46;24;85;49;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
18;Parque de los Niños;CA041;30/10/2019;2019;primavera;20.5;6.3;7.6;no se midió;no se midió;no se midió;no se midió;2800;2800;1600;9;0.72;no se midió;0.312;49;4.9;57;no se midió;<0.02;<0.002;<0.5;<10;43;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;30/10/2019;2019;primavera;21.3;5.2;7.8;no se midió;no se midió;no se midió;no se midió;740;740;6400;9;0.95;no se midió;0.175;49;4.9;83;no se midió;<0.02;<0.002;<0.5;<10;40;Extremadamente deteriorada
20;Club de Pescadores;CA046;30/10/2019;2019;primavera;21.4;3.6;7.7;no se midió;no se midió;no se midió;no se midió;32000;24000;9500;9;2.54;no se midió;0.197;49;4.9;63;no se midió;<0.02;<0.002;<0.5;<10;35;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;30/10/2019;2019;primavera;20.5;6.3;8.2;no se midió;no se midió;no se midió;no se midió;4500;4500;390;9;0.99;no se midió;0.263;49;4.9;86;no se midió;<0.02;<0.002;<0.5;<10;44;Extremadamente deteriorada
22;Escollera de Propaneros;AV054;6/11/2019;2019;primavera;22.9;2.76;7;Ausencia;Ausencia;Ausencia;Ausencia;7800;4500;1850;11.3;1.2;0.38;0.5;15;8;70;49;<0.006;<0.002;<0.5;<10;43;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;6/11/2019;2019;primavera;22.8;4.63;7.54;Ausencia;Ausencia;Ausencia;Ausencia;20800;11500;3600;9.6;1.6;0.36;0.37;28;8;46;49;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
