"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"36";"Arroyo El Gato";"EN083";"10/5/2023";"2023";"otoño";"17";"15";"4.24";"7.84";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"15000";"6800";"1200";"6.20";"0.62";"0.21";"0.20";"<2.0";"<30";"40.00";"<0.10";"<0.005";"<1.0";"2.79";"<0.15";"34";"Extremadamente deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"EN084";"10/5/2023";"2023";"otoño";"17";"15";"7.43";"7.88";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"200";"120";"40";"11.60";"0.23";"0.16";"0.15";"<2.0";"<30";"27.00";"<0.10";"<0.005";"<1.0";"32.49";"<0.15";"39";"Extremadamente deteriorada"
"38";"Balneario Palo Blanco";"BS092";"10/5/2023";"2023";"otoño";"17";"13";"6.33";"8.70";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1.000";"400";"120";"5.50";"0.13";"0.22";"0.18";"2.60";"<30";"45.00";"<0.10";"<0.005";"<1.0";"47.31";"<0.15";"35";"Extremadamente deteriorada"
"39";"Diagonal 66 (descarga cloaca)";"BS095";"10/5/2023";"2023";"otoño";"18";"16";"11.70";"9.39";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"32000";"32000";"1500";"22.50";"6.30";"0.61";"0.51";"4.80";"<30";"12.00";"<0.10";"<0.005";"<1.0";"29.02";"<0.15";"32";"Extremadamente deteriorada"
"40";"Playa La Bagliardi";"BS091";"10/5/2023";"2023";"otoño";"16";"13";"10.88";"9.18";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"24.000";"11200";"5000";"21.50";"4.40";"0.43";"0.42";"5.50";"<30";"20.00";"<0.10";"<0.005";"<1.0";"30.49";"<0.15";"32";"Extremadamente deteriorada"
"41";"Balneario Municipal";"BS094";"10/5/2023";"2023";"otoño";"17";"13";"10.02";"9.04";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1.100";"700";"80";"4.20";"0.09";"0.18";"0.15";"<2.0";"<30";"40.00";"<0.10";"<0.005";"<1.0";"41.65";"<0.15";"35";"Extremadamente deteriorada"
"42";"Playa La Balandra";"BS093";"10/5/2023";"2023";"otoño";"18";"13";"5.93";"8.35";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"500";"500";"140";"3.70";"0.09";"0.17";"0.12";"2.10";"<30";"32.00";"<0.10";"<0.005";"<1.0";"54.87";"<0.15";"36";"Extremadamente deteriorada"
"1";"Canal Villanueva y Río Luján";"TI001";"23/8/2023";"2023";"invierno";"16.3";"11";"8.53";"7.27";"Ausencia";"Ausencia";"Ausencia";"Presencia";"240";"200";"300";"4.2";"0.19";"0.57";"<0.20";"<2.0";"<30";"38";"<0.10";"<0.005";"<0.001";"1.02";"<0.15";"48";"Muy deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"23/8/2023";"2023";"invierno";"15";"11";"6.88";"7.13";"Ausencia";"Ausencia";"Presencia";"Presencia";"15000";"8300";"5000";"6.3";"0.72";"0.21";"0.20";"<2.0";"38";"37";"<0.10";"<0.005";"<0.001";"1.81";"0.16";"34";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"23/8/2023";"2023";"invierno";"15.2";"11";"5.97";"7.13";"Ausencia";"Ausencia";"Ausencia";"Presencia";"23000";"19000";"3000";"15.2";"2.90";"2";"0.46";"3.8";"36";"45";"<0.10";"6";"<0.001";"7.51";"<0.15";"35";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"23/8/2023";"2023";"invierno";"15.1";"11";"5.75";"7.19";"Presencia";"Ausencia";"Ausencia";"Ausencia";"11000";"5200";"1400";"15.7";"3.50";"0.36";"0.34";"4.3";"37";"39";"<0.10";"<0.005";"<0.001";"5.99";"<0.15";"37";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"23/8/2023";"2023";"invierno";"15.3";"11";"5.36";"7.13";"Presencia";"Presencia";"Presencia";"Presencia";"4000";"3600";"1500";"18.6";"4.00";"1.3";"0.53";"4.3";"40";"29";"<0.10";"<0.005";"<0.001";"4.54";"<0.15";"30";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"23/8/2023";"2023";"invierno";"15.3";"10";"4.13";"7.17";"Presencia";"Presencia";"Ausencia";"Presencia";"6000";"4100";"2000";"23.1";"5.20";"0.9";"0.64";"5.6";"38";"26";"<0.10";"7";"<0.001";"7.24";"<0.15";"29";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"23/8/2023";"2023";"invierno";"15.5";"10";"3.1";"7.07";"Ausencia";"Presencia";"Ausencia";"Presencia";"9000";"4400";"920";"20.2";"5.50";"1";"0.60";"4";"<30";"17";"<0.10";"<0.005";"<0.001";"3.99";"<0.15";"33";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"23/8/2023";"2023";"invierno";"15.8";"10";"8.72";"7.39";"Ausencia";"Ausencia";"Ausencia";"Presencia";"8800";"1620";"220";"2.7";"0.10";"0.59";"<0.20";"<2.0";"32";"39";"<0.10";"<0.005";"<0.001";"0.42";"<0.15";"44";"Extremadamente deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"23/8/2023";"2023";"invierno";"13.5";"10";"7.74";"7.11";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"170";"150";"170";"2.5";"0.25";"0.14";"<0.20";"<2.0";"41";"39";"<0.10";"<0.005";"<0.001";"0.59";"<0.15";"59";"Muy deteriorada"
"10";"Del Arca";"SF015";"23/8/2023";"2023";"invierno";"16";"13";"5.4";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3000";"2700";"500";"13.9";"10";"0.95";"0.37";"2.0";"<30";"19";"<0.10";"<0.005";"<0.001";"3.85";"<0.15";"39";"Extremadamente deteriorada"
"11";"Espigón La Farola";"SI021";"23/8/2023";"2023";"invierno";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"N/A";""
"12";"Reserva Ecológica";"SI022";"23/8/2023";"2023";"invierno";"13.7";"14";"7.64";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2900";"2300";"1400";"8.6";"1.00";"0.58";"0.28";"<2.0";"<30";"20";"<0.10";"<0.005";"<0.001";"3.11";"<0.15";"40";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"23/8/2023";"2023";"invierno";"13.7";"14";"6.66";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3300";"2300";"1500";"39.4";"8.50";"1.5";"0.61";"4.3";"<30";"4";"<0.10";"<0.005";"<0.001";"0.94";"<0.15";"40";"Extremadamente deteriorada"
"14";"Perú Puente";"SI023";"23/8/2023";"2023";"invierno";"17.5";"14";"6.37";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"150000";"65000";"18000";"12.7";"1.4";"0.29";"0.28";"2.8";"<30";"21";"<0.10";"<0.005";"<0.001";"2.83";"<0.15";"35";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"VL033";"23/8/2023";"2023";"invierno";"13.8";"11.5";"8.15";"6.82";"Presencia";"Ausencia";"Ausencia";"Ausencia";"20000";"3000";"800";"16.9";"1.20";"1.2";"0.35";"2.8";"<30";"12";"<0.10";"<0.005";"<0.001";"0.45";"<0.15";"38";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"VL032";"23/8/2023";"2023";"invierno";"14.3";"11.3";"5.58";"6.53";"Ausencia";"Ausencia";"Ausencia";"Presencia";"13200";"9800";"3000";"16";"1.50";"0.55";"0.31";"2.8";"<30";"15";"<0.10";"<0.005";"<0.001";"1.06";"0.15";"37";"Extremadamente deteriorada"
"17";"Costa y Melo";"VL031";"23/8/2023";"2023";"invierno";"13.1";"11.3";"5.14";"6.74";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"38000";"11000";"3500";"16.7";"1.90";"0.77";"0.36";"4";"<30";"15";"<0.10";"<0.005";"<0.001";"0.45";"<0.15";"38";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CA041";"23/8/2023";"2023";"invierno";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó"
"19";"Costanera Norte - Espigón Abanico";"CA044";"23/8/2023";"2023";"invierno";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó"
"20";"Club de Pescadores";"CA046";"23/8/2023";"2023";"invierno";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó"
"21";"Reserva Ecológica Costanera Sur - Playita";"CA047";"23/8/2023";"2023";"invierno";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó"
"22";"Cuatro bocas- desembocadura del Riachuelo";"AC001";"23/8/2023";"2023";"invierno";"15.21";"13";"0.6";"7.29";"Ausencia";"Ausencia";"Ausencia";"Presencia";"40000";"10300";"14000";"11";"9.1";"0.55";"0.53";"";"37";"16";"<0.10";"<0.005";"<0.001";"2.61";"<0.15";"32";"Extremadamente deteriorada"
"23";"Escollera de Propaneros";"AV054";"23/8/2023";"2023";"invierno";"15.18";"13";"1.2";"7.48";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"12000";"4600";"1200";"10.5";"10";"1.40";"0.65";"7.7";"40";"19";"<0.10";"<0.005";"<0.001";"3.48";"Dato atípico";"38";"Extremadamente deteriorada"
"24";"Polo Petroquímico Dock Sud";"AV051";"23/8/2023";"2023";"invierno";"15";"13";"1.22";"7.47";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4000";"2200";"800";"13.8";"7.20";"2.70";"0.60";"5.2";"<30";"12";"<0.10";"<0.005";"<0.001";"3.85";"Dato atípico";"38";"Extremadamente deteriorada"
"25";"Arroyo Sarandí";"AV052";"23/8/2023";"2023";"invierno";"15.1";"13";"0.96";"7.5";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2000";"2000";"1000";"11.7";"8.20";"2.10";"0.56";"4.7";"30";"14";"<0.10";"<0.005";"<0.001";"3.85";"Dato atípico";"39";"Extremadamente deteriorada"
"26";"Costa de Villa Domínico";"AV055";"23/8/2023";"2023";"invierno";"14.5";"13";"1.1";"7.34";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4000";"2000";"2000";"13.3";"8";"0.72";"0.40";"4.4";"<30";"8";"<0.10";"<0.005";"<0.001";"6.13";"<0.15";"37";"Extremadamente deteriorada"
"27";"Arroyo Santo Domingo";"AV053";"23/8/2023";"2023";"invierno";"14.53";"13";"2.64";"7.53";"Ausencia";"Ausencia";"Ausencia";"Presencia";"800";"800";"400";"13.9";"8.9";"1.40";"0.32";"2.3";"32";"12";"<0.10";"<0.005";"<0.001";"5.99";"<0.15";"36";"Extremadamente deteriorada"
"28";"Espora 400 m";"QU061";"23/8/2023";"2023";"invierno";"12";"15";"9.88";"7.66";"Presencia";"Ausencia";"Ausencia";"Presencia";"420";"420";"1000";"9.2";"1.50";"1.00";"0.25";"<2.0";"<30";"19";"<0.10";"<0.005";"<0.001";"1.47";"<0.15";"39";"Extremadamente deteriorada"
"29";"Náutico 400 m";"QU062";"23/8/2023";"2023";"invierno";"12";"15";"9.3";"7.4";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"450";"450";"640";"8.9";"1.90";"3.10";"0.30";"<2.0";"<30";"22";"<0.10";"<0.005";"<0.001";"3.1";"<0.15";"40";"Extremadamente deteriorada"
"30";"Pejerrey Club 400 m";"QU063";"23/8/2023";"2023";"invierno";"12";"15";"8.11";"7.55";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"600";"600";"260";"7.7";"1.50";"0.48";"0.25";"<2.0";"<30";"27";"<0.10";"<0.005";"<0.001";"1.31";"<0.15";"47";"Muy deteriorada"
"31";"Calle 14 y Costa - Salida cloaca";"BZ078";"23/8/2023";"2023";"invierno";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó"
"32";"Puerto Trinidad calle 47";"BZ077";"23/8/2023";"2023";"invierno";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó"
"33";"Costanera Hudson Calle 63";"BZ080";"23/8/2023";"2023";"invierno";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó";"no muestreó"
"34";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-adic";"23/8/2023";"2023";"invierno";"sin equipo";"12";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1400";"1000";"1160";"7.3";"0.87";"0.44";"0.43";"3.6";"76";"75";"<0.10";"<0.005";"<0.001";"28.85";"0.20";"34";"Extremadamente deteriorada"
"35";"Camping Eva Perón";"EN081";"23/8/2023";"2023";"invierno";"12.3";"13";"8.44";"10.5";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"400";"60";"750";"11.2";"0.69";"0.39";"0.34";"4";"40";"50";"<0.10";"<0.005";"<0.001";"67.76";"<0.15";"36";"Extremadamente deteriorada"
"36";"Toma de agua Club de Pesca";"EN082";"23/8/2023";"2023";"invierno";"12.9";"13";"8.57";"8.01";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"400";"100";"200";"10.6";"1.20";"0.42";"0.26";"2.7";"<30";"28";"<0.10";"<0.005";"<0.001";"17.5";"0.16";"40";"Extremadamente deteriorada"
"37";"Arroyo El Gato";"EN083";"23/8/2023";"2023";"invierno";"13.8";"13";"5.63";"7.96";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"11000";"3000";"2600";"20.7";"3.50";"0.75";"0.48";"4.5";"40";"55";"<0.10";"<0.005";"<0.001";"18.75";"0.19";"37";"Extremadamente deteriorada"
"38";"Ensenada Prefectura Isla Santiago";"EN084";"23/8/2023";"2023";"invierno";"12.6";"13";"8.99";"8.08";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"500";"200";"230";"10.7";"1.10";"0.77";"0.26";"3.1";"<30";"32";"<0.10";"<0.005";"<0.001";"30.9";"0.15";"37";"Extremadamente deteriorada"
"39";"Balneario Palo Blanco";"BS092";"23/8/2023";"2023";"invierno";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible"
"40";"Diagonal 66 (descarga cloaca)";"BS095";"23/8/2023";"2023";"invierno";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible";"inaccesible"
"41";"Playa La Bagliardi";"BS091";"23/8/2023";"2023";"invierno";"12.2";"10";"6.33";"8.7";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"600";"600";"360";"10.5";"3.2";"1.7";"1.10";"4";"76";"90";"<0.10";"<0.005";"<0.001";"8.22";"<0.15";"37";"Extremadamente deteriorada"
"42";"Balneario Municipal";"BS094";"23/8/2023";"2023";"invierno";"12";"13";"9.41";"8.67";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"300";"300";"150";"6.6";"0.56";"0.56";"0.55";"2.3";"66";"75";"<0.10";"<0.005";"<0.001";"19.25";"<0.15";"36";"Extremadamente deteriorada"
"43";"Playa La Balandra";"BS093";"23/8/2023";"2023";"invierno";"12";"10";"8.96";"8.09";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"800";"500";"230";"5.7";"0.42";"3.00";"0.55";"2.5";"67";"50";"<0.10";"<0.005";"<0.001";"45.07";"0.79";"38";"Extremadamente deteriorada"
"1";"Canal Villanueva y Río Luján";"TI001";"14/11/2023";"2023";"primavera";"23";"25";"4.72";"6.57";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"200";"180";"290";"3.3";"0.13";"0.12";"<0.20";"<2.0";"<30";"24";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"42";"Extremadamente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"14/11/2023";"2023";"primavera";"22";"25";"2.62";"6.49";"Ausencia";"Ausencia";"Ausencia";"Presencia";"2000";"400";"800";"<2.0";"0.25";"0.14";"<0.20";"<2.0";"43";"11";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"35";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"14/11/2023";"2023";"primavera";"26";"25";"4.31";"6.71";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4000";"600";"400";"2.7";"2.0";"0.26";"<0.20";"3.0";"<30";"13";"<0.10";"<0.005";"<0.001";"10.7";"<0.15";"37";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"14/11/2023";"2023";"primavera";"21";"25";"2.98";"6.49";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1000";"400";"900";"<2.0";"1.0";"0.14";"<0.20";"<2.0";"40";"24";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"33";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"14/11/2023";"2023";"primavera";"23";"25";"2.01";"6.67";"Ausencia";"Ausencia";"Ausencia";"Presencia";"19000";"18000";"5700";"2.3";"2.6";"0.44";"<0.20";"4.7";"<30";"8.7";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"33";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"14/11/2023";"2023";"primavera";"23";"24";"2.67";"6.62";"Presencia";"Ausencia";"Ausencia";"Presencia";"15000";"13000";"3000";"2.3";"7.5";"0.95";"0.34";"5.7";"53";"20";"<0.10";"0";"<0.001";"30";"<0.15";"30";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"14/11/2023";"2023";"primavera";"23";"24";"1.95";"6.65";"Ausencia";"Ausencia";"Ausencia";"Presencia";"7000";"2000";"1600";"2.9";"0.71";"0.44";"<0.20";"4.6";"80";"3.1";"<0.10";"<0.005";"<0.001";"12.7";"<0.15";"34";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"14/11/2023";"2023";"primavera";"21";"24";"4.15";"6.61";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"400";"200";"360";"<2.0";"0.60";"0.10";"<0.20";"<2.0";"<30";"33";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"38";"Extremadamente deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"14/11/2023";"2023";"primavera";"21";"24";"2.94";"6.50";"Ausencia";"Ausencia";"Ausencia";"Presencia";"300";"260";"400";"<2.0";"0.47";"0.13";"<0.20";"<2.0";"59";"23";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"38";"Extremadamente deteriorada"
"10";"Del Arca";"SF015";"14/11/2023";"2023";"primavera";"16";"13";"5.4";"-";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"62000";"5800";"2480";"2.6";"1.7";"0.30";"<0.20";"3.4";"<30";"12";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"28";"Extremadamente deteriorada"
"11";"Espigón La Farola";"SI021";"14/11/2023";"2023";"primavera";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra"
"12";"Reserva Ecológica";"SI022";"14/11/2023";"2023";"primavera";"22";"23";"5.61";"-";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"400";"400";"300";"3.1";"0.27";"0.19";"<0.20";"2.0";"<30";"14";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"41";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"14/11/2023";"2023";"primavera";"24";"23";"6.69";"-";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"500";"500";"200";"5.0";"0.60";"0.19";"<0.20";"2.0";"<30";"18";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"39";"Extremadamente deteriorada"
"14";"Perú Puente";"SI023";"14/11/2023";"2023";"primavera";"23";"23";"4.86";"-";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"28000";"20000";"10000";"14.4";"2.1";"0.36";"<0.20";"2.7";"<30";"6.2";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"32";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"VL033";"14/11/2023";"2023";"primavera";"23";"22";"6.95";"6.64";"Ausencia";"Ausencia";"Ausencia";"Presencia";"3000";"2000";"900";"5.8";"0.77";"0.20";"<0.20";"2.1";"<30";"13";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"37";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"VL032";"14/11/2023";"2023";"primavera";"23";"22";"4.88";"7.06";"Ausencia";"Ausencia";"Ausencia";"Presencia";"22000";"14000";"16000";"5.3";"1.3";"0.22";"<0.20";"2.3";"<30";"6.1";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"33";"Extremadamente deteriorada"
"17";"Costa y Melo";"VL031";"14/11/2023";"2023";"primavera";"24";"22";"5.07";"6.50";"Ausencia";"Ausencia";"Ausencia";"Presencia";"11000";"11000";"3000";"4.2";"1.8";"0.25";"<0.20";"3.8";"30";"18";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"36";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CA041";"14/11/2023";"2023";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"19";"Costanera Norte - Espigón Abanico";"CA044";"14/11/2023";"2023";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"20";"Club de Pescadores";"CA046";"14/11/2023";"2023";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"21";"Reserva Ecológica Costanera Sur - Playita";"CA047";"14/11/2023";"2023";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"22";"Escollera de Propaneros";"AV054";"14/11/2023";"2023";"primavera";"22";"21";"3.33";"7.05";"Presencia";"Presencia";"Ausencia";"Presencia";"19000";"16000";"6000";"12.7";"<0.78";"0.54";"sin muestra";"17";"37";"16";"<0.10";"0";"<0.001";"<10.00";"0.15";"23";"Extremadamente deteriorada"
"23";"Polo Petroquímico Dock Sud";"AV051";"14/11/2023";"2023";"primavera";"23";"22";"6.4";"7.39";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"500";"500";"150";"2.9";"1.9";"0.29";"sin muestra";"4.6";"<30";"30";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"40";"Extremadamente deteriorada"
"24";"Arroyo Sarandí";"AV052";"14/11/2023";"2023";"primavera";"22";"22";"6.3";"7.39";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1000";"900";"290";"3.1";"1.3";"0.20";"<0.20";"3.1";"<30";"26";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"40";"Extremadamente deteriorada"
"25";"Costa de Villa Domínico";"AV055";"14/11/2023";"2023";"primavera";"22";"22";"5.94";"7.41";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"900";"900";"300";"2.8";"1.4";"0.24";"<0.20";"3.9";"33";"20";"<0.10";"<0.005";"<0.001";"15.4";"<0.15";"38";"Extremadamente deteriorada"
