Orden;Sitios;Municipio;codigo;Fecha;Año;Campaña;Tem_agua;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
11;Espigón La Farola;San Isidro;SI021;21/3/2018;2018;verano;21;6.1;7.54;ausencia;ausencia;no hay;no se midió;1500;450;10;6.59;0.05;<0.5;0.5;<10;5;201;50;0.01;0.005;<50;50;60;Muy deteriorada
12;Reserva Ecológica;San Isidro;SI022;21/3/2018;2018;verano;21.5;5.45;7.41;ausencia;ausencia;no hay;no se midió;1810;380;10;7.22;0.05;<0.5;0.5;<10;5;214.5;50;0.01;0.005;<50;50;59;Muy deteriorada
13;Playa Espigón de Pacheco;San Isidro;SI024;21/3/2018;2018;verano;21;7.81;7.86;ausencia;ausencia;no hay;no se midió;2410;1720;220;7.21;0.05;<0.5;0.5;<10;5;121.5;50;0.01;0.005;<50;50;52;Muy deteriorada
14;Perú Puente;San Isidro;SI023;21/3/2018;2018;verano;22;3.39;7.42;ausencia;ausencia;no hay;no se midió;2510;1670;200;11;0.05;<0.5;0.5;27.9;5;43.5;350;0.01;0.005;<50;50;49;Muy deteriorada
15;Reserva Barrio El Ceibo ;Vicente López;VL033;21/3/2018;2018;verano;20.8;6.9;7.43;ausencia;presencia;ausencia;ausencia;2110;1530;100;7.33;0.05;<0.5;0.5;27.9;5;67.5;602;0.01;0.005;<50;998;47;Muy deteriorada
16;Puerto de Olivos Espigón;Vicente López;VL032;21/3/2018;2018;verano;20.9;7.4;7.44;ausencia;no se midió;presencia;no se midió;1980;1430;110;7.39;0.05;<0.5;0.5;27.9;5;369;508;0.01;0.005;<50;89;45;Muy deteriorada
17;Costa y Melo;Vicente López;VL031;21/3/2018;2018;verano;20.8;7.4;7.48;ausencia;no se midió;solo por olas;no se midió;1750;1390;90;6.98;0.05;<0.5;0.5;<10;5;93;50;0.01;0.005;<50;50;57;Extremadamente deteriorada
18;Parque de los Niños;CABA;CA041;21/3/2018;2018;verano;20.6;4.8;7.3;no se midió;no se midió;no se midió;no se midió;7700;6800;1300;11;0.12;no se midió;0.2;37;5;52.3;no se midió;0.019;0.0019;no se midió;no se midió;38;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CABA;CA044;21/3/2018;2018;verano;20.9;5.7;7.5;no se midió;no se midió;no se midió;no se midió;1600;1600;650;7;0.12;no se midió;0.2;19;5;53.3;no se midió;0.019;0.0019;no se midió;no se midió;48;Extremadamente deteriorada
20;Club de Pescadores;CABA;CA046;21/3/2018;2018;verano;20.9;7.1;7.5;no se midió;no se midió;no se midió;no se midió;9400;8900;3500;11;0.26;no se midió;0.2;19;5;40;no se midió;0.019;0.0019;no se midió;no se midió;40;Muy deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CABA;CA047;21/3/2018;2018;verano;21.7;8.4;7.9;no se midió;no se midió;no se midió;no se midió;690;670;270;11;0.12;<0.5;0.3;75;5;53;50;0.019;0.0019;<50;2431;46;Extremadamente deteriorada
22;Escollera de Propaneros;Avellaneda;AV054;21/3/2018;2018;verano;25;4.19;6.5;no perceptible;ausente;ausencia;ausencia;1780;1250;110;4.5;0.21;<0.5;0.5;<10;5;232.5;50;0.01;0.005;<50;6818;40;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;Avellaneda;AV051;21/3/2018;2018;verano;24.5;4.45;6.3;no perceptible;ausente;ausencia;ausencia;1500;720;10;2.6;0.08;<0.5;0.5;39;11;289.5;129;0.01;0.005;<50;1557;41;Muy deteriorada
24;Arroyo Sarandí;Avellaneda;AV052;21/3/2018;2018;verano;24.9;4.33;6.4;no perceptible;ausente;ausencia;ausencia;1460;580;10;4.2;0.05;<0.5;0.5;<10;5;162;50;0.01;0.005;<50;2274;45;Muy deteriorada
25;Costa de Villa Domínico     ;Avellaneda;AV055;21/3/2018;2018;verano;24.7;4.24;6.5;no perceptible;ausente;ausencia;ausencia;2310;1780;200;5.3;0.05;<0.5;0.5;<10;5;201;127;0.01;0.005;<50;50;48;Muy deteriorada
26;Arroyo Santo Domingo;Avellaneda;AV053;21/3/2018;2018;verano;24.8;4.49;6.6;no se midió;no se midió;no se midió;no se midió;2130;1680;140;4.8;0.05;<0.5;0.5;<10;5;97.5;50;0.01;0.005;<50;50;50;no se midió
27;Espora 400 m;Quilmes;QU061;21/3/2018;2018;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
28;Náutico 400 m;Quilmes;QU062;21/3/2018;2018;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
29;Pejerrey Club 400 m;Quilmes;QU063;21/3/2018;2018;verano;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;Extremadamente deteriorada
30;Calle 14 y Costa - Salida cloaca;Berazategui;BZ078;21/3/2018;2018;verano;20.6;6.79;7.95;ausencia;ausencia;no se midió;ausencia;1820;700;130;7.33;0.05;0.8;0.9;11.2;5;150;2043.5;0.01;0.005;<50;1889;41;Muy deteriorada
31;Puerto Trinidad calle 47;Berazategui;BZ077;21/3/2018;2018;verano;20.4;8.79;8.33;ausencia;ausencia;no se midió;ausencia;1720;620;10;10.47;0.05;<0.5;0.5;11.2;5;139.5;78;0.01;0.005;<50;50;57;Extremadamente deteriorada
